de	-e/-dan, -den; ...nin
calidad	kalite
amenaza	tehdit
actitud	tutum
lengua	dil; lisan
contener	içermek; tutmak
dudar	şüphe etmek
pedido	sipariş; istek
región	bölge
beso	öpücük
medicina	tıp; ilaç
oferta	teklif; indirim
pérdida	kayıp
estupendo	harika
asustado	korkmuş
quemar	yakmak
rostro	yüz
plaza	meydan; yer
alcalde	belediye başkanı
definitivamente	kesinlikle
pintura	boya; resim
parque	park
ridículo	gülünç
silla	sandalye
velocidad	hız
texto	metin
asiento	koltuk; oturma yeri
voluntad	irade; istek
ruso	Rus; Rusça
laboratorio	laboratuvar
mudar	taşınmak; değiştirmek
comercial	ticari; reklam
tontería	aptalca şey
particular	özel; belirli
límite	sınır
camión	kamyon
ganado	hayvan sürüsü; kazanılmış
economía	ekonomi
botella	şişe
espectáculo	gösteri
inmediatamente	hemen
visión	görüş; vizyon
restaurante	restoran
fantasma	hayalet
pago	ödeme
adivinar	tahmin etmek
discurso	konuşma; söylem
rodear	çevrelemek
sujeto	özne; kişi; tabi
planear	planlamak
eliminar	yok etmek; elemek
apartamento	daire
acceso	erişim; giriş
tony	Tony (özel isim)
estructura	yapı
cuento	hikâye; masal
congreso	kongre; parlamento
carga	yük
revista	dergi
kilómetro	kilometre
mínimo	minimum; en az
poseer	sahip olmak
viernes	cuma
diverso	çeşitli
archivo	dosya; arşiv
rayo	şimşek; ışın
huella	iz; parmak izi
pecho	göğüs
vos	sen (voseo)
disco	disk; albüm
plato	tabak; yemek
interesado	ilgilenen
ambiente	ortam; çevre
instituto	enstitü; lise
socio	ortak; üye
deshacer	bozmak; geri almak
jardín	bahçe
exigir	talep etmek
poderoso	güçlü
origen	köken
entrevista	röportaj; görüşme
mediante	aracılığıyla
nariz	burun
llenar	doldurmak
unión	birlik
conjunto	küme; takım; birlikte
tiro	atış
evidencia	kanıt
carretera	karayolu
reloj	saat
príncipe	prens
ciudadano	vatandaş
perseguir	takip etmek; kovalamak
sábado	cumartesi
surgir	ortaya çıkmak
absolutamente	kesinlikle; tamamen
mary	Mary (özel isim)
análisis	analiz
imbécil	aptal
menudo	küçük; sık (a menudo: sık sık)
renunciar	istifa etmek; vazgeçmek
playa	plaj
rendir	teslim olmak; performans göstermek
cerdo	domuz
trampa	tuzak; hile
directamente	doğrudan
ladrón	hırsız
turno	sıra; vardiya
escoger	seçmek
solicitar	talep etmek; başvurmak
dormido	uyuyan; uykulu
empleo	iş; istihdam
describir	tanımlamak
encender	yakmak; açmak
ministerio	bakanlık
altura	yükseklik
comienzo	başlangıç
sensación	his; duyum
puente	köprü
trago	yudum; içki
periodista	gazeteci
cercano	yakın
reducir	azaltmak
escenario	sahne; senaryo
largar	bırakmak; uzaklaşmak
corriente	akım; akım; sıradan
extranjero	yabancı
cobrar	tahsil etmek; ücret almak
administración	yönetim
barrio	mahalle
gastar	harcamak
emergencia	acil durum
bill	Bill (özel isim)
propuesta	öneri
harry	Harry (özel isim)
sombra	gölge
repente	ani (de repente: aniden)
cadena	zincir; kanal
monstruo	canavar
cadáver	ceset
temporada	sezon; dönem
institución	kurum
majestad	majesteleri
inventar	icat etmek; uydurmak
legal	yasal
vacación	tatil
requerir	gerektirmek
acusar	suçlamak
disparo	atış
precisamente	tam olarak
crédito	kredi
anillo	yüzük
vistazo	bakış
parecido	benzer
ojalá	umarım; keşke
tecnología	teknoloji
hueso	kemik
federal	federal
violencia	şiddet
criminal	suçlu; suçla ilgili
durar	sürmek
revelar	açıklamak; ortaya çıkarmak
original	orijinal
montar	binmek; monte etmek
firma	imza; şirket
u	veya (o/ho önünde)
respetar	saygı göstermek
conciencia	bilinç; vicdan
manifestar	ifade etmek; gösteri yapmak
moral	ahlak; moral
belleza	güzellik
histórico	tarihî
t	T harfi
construcción	inşaat; yapı
escritor	yazar
examen	sınav
débil	zayıf
seguramente	muhtemelen; kesinlikle
moderno	modern
corresponder	karşılık gelmek; ait olmak
vestir	giydirmek; giymek
embarazado	hamile
escalera	merdiven
mando	komuta; kumanda
expresión	ifade
you	İngilizce “you” (veri artığı)
empujar	itmek
lastimar	incitmek
vehículo	araç
amante	sevgili; seven
lavar	yıkamak
industria	sanayi
ejercicio	egzersiz; alıştırma
pedazo	parça
quieto	hareketsiz; sakin
terreno	arazi
candidato	aday
desnudo	çıplak
universo	evren
avanzar	ilerlemek
jimmy	Jimmy (özel isim)
tamaño	boyut
materia	madde; ders
fresco	taze; serin
confesar	itiraf etmek
taxi	taksi
compromiso	taahhüt; nişan; uzlaşma
alex	Alex (özel isim)
circunstancia	koşul; durum
fotografía	fotoğraf
etc	vesaire
existencia	varoluş; mevcudiyet
tratado	antlaşma; ele alınmış
italiano	İtalyan; İtalyanca
gas	gaz
obviamente	açıkça; tabii ki
robo	hırsızlık
jim	Jim (özel isim)
empleado	çalışan
practicar	pratik yapmak
hoja	yaprak; sayfa
protección	koruma
paseo	gezinti
búsqueda	arama
efectivo	nakit; etkili
canal	kanal
cultural	kültürel
organizar	organize etmek
n	N harfi
ignorar	görmezden gelmek; bilmemek
experto	uzman
positivo	pozitif; olumlu
aplicar	uygulamak; başvurmak
arrancar	başlatmak; koparmak
cuchillo	bıçak
norteamericano	Kuzey Amerikalı; ABD'li
concepto	kavram
sencillo	basit; sade
votar	oy vermek
lunes	pazartesi
cabello	saç
fallar	başarısız olmak; bozulmak
conservar	korumak
atrapado	sıkışmış; yakalanmış
complicado	karmaşık
beneficio	fayda; kâr
método	yöntem
bebida	içecek
deuda	borç
rogar	yalvarmak; rica etmek
clave	anahtar; kilit nokta
norma	kural; norm
encantador	büyüleyici; sevimli
inspector	müfettiş
agregar	eklemek
cinta	bant; şerit
pleno	tam; genel kurul
demanda	talep; dava
aprobar	onaylamak; sınavı geçmek
saludar	selamlamak
jodido	berbat; lanetlenmiş (argo)
contento	memnun; mutlu
ciego	kör
comunicar	iletişim kurmak; bildirmek
alimentar	beslemek
ritmo	ritim
danny	Danny (özel isim)
bola	top
mexicano	Meksikalı
ventaja	avantaj
representante	temsilci
asociación	dernek; ilişkilendirme
fingir	rol yapmak; numara yapmak
pantalones	pantolon
nick	Nick (özel isim)
lluvia	yağmur
versión	versiyon
steve	Steve (özel isim)
meta	hedef; bitiş çizgisi
interrumpir	bölmek; kesmek
autobús	otobüs
enfermero	hemşire (erkek/genel)
república	cumhuriyet
motor	motor
cargar	yüklemek; şarj etmek
socialista	sosyalist
adorar	çok sevmek; tapmak
asistir	katılmak; yardımcı olmak
inversión	yatırım
agencia	ajans
preciso	kesin; gerekli
desastre	felaket
explotar	patlamak; sömürmek
financiero	finansal
resistir	direnmek; dayanmak
dama	hanımefendi
cien	yüz (100)
plazo	süre; vade
analizar	analiz etmek
borracho	sarhoş
atravesar	geçmek; delip geçmek
alimento	gıda
etapa	aşama
letra	harf; şarkı sözü
actuación	performans; oyunculuk
determinado	belirli; kararlı
formación	eğitim; oluşum
seco	kuru
competencia	rekabet; yetkinlik
pelota	top
impuesto	vergi
secundario	ikincil; ortaöğretim
novela	roman; dizi
rueda	tekerlek
recién	henüz; yeni
revolución	devrim
bienvenida	hoş geldin; karşılama
desconocido	bilinmeyen; yabancı
agujero	delik
delito	suç
damas	hanımlar; dama oyunu
humor	mizah; ruh hali
pez	balık
factor	faktör
vacío	boş
salón	salon
sarah	Sarah (özel isim)
británico	Britanyalı; Britanya'ya ait
p	P harfi
cómodo	rahat
contenido	içerik; içerilmiş
hielo	buz
inútil	işe yaramaz
descanso	dinlenme
perfectamente	mükemmel şekilde
comentar	yorum yapmak
robert	Robert (özel isim)
aclarar	açıklığa kavuşturmak
acusado	sanık; suçlanmış
arrastrar	sürüklemek
aventura	macera
culpar	suçlamak
conde	kont
espada	kılıç
polvo	toz
atraer	çekmek
crítica	eleştiri; kritik
suficientemente	yeterince
clásico	klasik
plano	düz; plan
frontera	sınır
alumno	öğrenci
conferencia	konferans
veinte	yirmi
plantear	ortaya koymak; gündeme getirmek
acudir	gitmek; başvurmak
jurado	jüri
feo	çirkin
aburrido	sıkıcı; sıkılmış
vaso	bardak
dios	tanrı
ejecutivo	yönetici; yürütmeye ait
sombrero	şapka
territorio	bölge; toprak
palacio	saray
jane	Jane (özel isim)
generación	nesil; üretim
indio	Hintli; yerli
coincidir	aynı fikirde olmak; çakışmak
destacar	öne çıkmak
concentrar	yoğunlaştırmak
johnny	Johnny (özel isim)
arriesgar	riske atmak
honesto	dürüst
pájaro	kuş
mayo	Mayıs
sesión	oturum
comité	komite
hecho	olgu; yapılmış
um	ımm (ünlem/veri artığı)
roca	kaya
disponer	düzenlemek; sahip olmak
organismo	organizma; kurum
frase	cümle; ifade
marco	çerçeve
reacción	tepki
activo	aktif; varlık
característica	özellik
relacionado	ilişkili
similar	benzer
criar	büyütmek; yetiştirmek
helado	dondurma; donmuş
reino	krallık
lento	yavaş
deporte	spor
tender	sermek; eğilim göstermek
juzgar	yargılamak
pesado	ağır; sıkıcı
gasto	harcama
emoción	duygu; heyecan
conflicto	çatışma
firme	sağlam; kararlı
operar	ameliyat etmek; işletmek
hombro	omuz
cocinar	yemek pişirmek
pollo	tavuk
dificultad	zorluk
labio	dudak
primo	kuzen (erkek)
explicación	açıklama
habilidad	beceri
brujo	büyücü
entrenador	antrenör
procedimiento	prosedür
vergüenza	utanç
capítulo	bölüm
tommy	Tommy (özel isim)
alcohol	alkol
útil	faydalı
enojado	kızgın
coño	am/lanet (kaba argo)
aeropuerto	havalimanı
olor	koku
aumento	artış; artış
opinar	fikir belirtmek
oscuridad	karanlık
grito	çığlık
usado	kullanılmış
comportamiento	davranış
instalar	kurmak
identidad	kimlik
químico	kimyasal; kimyager
prisionero	mahkûm
superficie	yüzey
estadounidense	ABD'li
madera	ağaç; ahşap
transformar	dönüştürmek
imponer	dayatmak; uygulamak
ray	Ray (özel isim)
claramente	açıkça
truco	hile; numara
masa	kütle; hamur
piloto	pilot
oeste	batı
conceder	vermek; kabul etmek
billy	Billy (özel isim)
anciano	yaşlı kişi
talento	yetenek
princesa	prenses
transporte	ulaşım
bolsillo	cep
eléctrico	elektrikli
sonrisa	gülümseme
conexión	bağlantı
valiente	cesur
plata	gümüş; para
lenguaje	dil; anlatım sistemi
apreciar	değer vermek; takdir etmek
copia	kopya
puto	lanet; fahişe ile ilgili (kaba argo)
gloria	şan; zafer
suelto	gevşek; serbest
adulto	yetişkin
impresión	izlenim; baskı
vencer	yenmek
básico	temel
religioso	dinî; dindar
promesa	söz
amplio	geniş
nacido	doğmuş
gobernador	vali
moneda	madeni para; para birimi
bastardo	piç (hakaret)
creación	yaratma
alegría	sevinç
extrañar	özlemek; garipsemek
funcionario	memur
camisa	gömlek
esquina	köşe
mark	Mark (özel isim)
rezar	dua etmek
pastel	pasta; kek
interpretar	yorumlamak; canlandırmak
criatura	yaratık; çocuk
temperatura	sıcaklık
determinar	belirlemek
apuesta	bahis
atractivo	çekici; cazibe
adquirir	edinmek
espejo	ayna
crecimiento	büyüme
obligado	zorunlu; mecbur
grabar	kaydetmek; oymak
entrega	teslimat; teslim
inteligencia	zekâ
violar	tecavüz etmek; ihlal etmek
museo	müze
septiembre	Eylül
preocupación	endişe
arrojar	atmak; fırlatmak
reciente	yakın tarihli; yeni
profundar	derinleştirmek
diputado	milletvekili
tono	ton
fenómeno	olgu; fenomen
magia	büyü
frecuencia	sıklık; frekans
techo	çatı; tavan
comportar	davranmak; içermek
régimen	rejim; düzen
reserva	rezervasyon; rezerv
detente	dur!
amistad	arkadaşlık
gordo	şişman
década	on yıl; on yıllık dönem
and	İngilizce “and” (veri artığı)
cáncer	kanser
ingreso	gelir; giriş
reforma	reform; tadilat
cura	tedavi; rahip
salvaje	vahşi
queso	peynir
tradición	gelenek
proceder	ilerlemek; kaynaklanmak
referencia	referans
rodilla	diz
mapa	harita
gracia	zarafet; lütuf
participación	katılım
normalmente	normalde
eddie	Eddie (özel isim)
lección	ders
caber	sığmak
concierto	konser
comercio	ticaret
campeón	şampiyon
auténtico	gerçek; özgün
octubre	Ekim
lago	göl
extra	ekstra
señoría	sayın yargıç; efendim
profundo	derin
milagro	mucize
paquete	paket
papi	babacığım
correo	posta; e-posta
estrategia	strateji
instante	an
diciembre	Aralık
dividir	bölmek
sección	bölüm
enfadado	kızgın
influencia	etki
chris	Chris (özel isim)
probable	muhtemel
junio	Haziran
introducir	tanıtmak; içine sokmak
cristiano	Hristiyan; Hristiyanlığa ait
traicionar	ihanet etmek
generar	üretmek
enamorar	âşık etmek
extraordinario	sıra dışı
abril	Nisan
ángel	melek
industrial	sanayiye ait
girar	dönmek; çevirmek
aceite	yağ
almuerzo	öğle yemeği
adoptar	evlat edinmek; benimsemek
individuo	birey
abrazar	sarılmak
impresionante	etkileyici
costumbre	alışkanlık; gelenek
cuerda	ip; tel
enero	Ocak
pecado	günah
computadora	bilgisayar
exposición	sergi; açıklama
escondido	gizli
despacio	yavaşça
cigarrillo	sigara
cancelar	iptal etmek
electoral	seçimle ilgili
mental	zihinsel
chino	Çinli; Çince
fundamental	temel
risa	gülüş; kahkaha
rápidamente	hızlıca
curioso	meraklı; ilginç
taza	fincan; kupa
senador	senatör
extender	uzatmak; yaymak
will	Will (özel isim/İngilizce veri artığı)
moda	moda
instrumento	alet; enstrüman
genio	deha; karakter
martin	Martin (özel isim)
democracia	demokrasi
dominar	hâkim olmak
encerrar	kapatmak; kilitlemek
tormenta	fırtına
tumba	mezar
lobo	kurt
signo	işaret; burç
trasladar	taşımak; nakletmek
móvil	mobil; cep telefonu
doce	on iki
ganador	kazanan
presionar	baskı yapmak; basmak
suave	yumuşak
definir	tanımlamak
últimamente	son zamanlarda
marcar	işaretlemek; skor yapmak
fase	aşama
personalidad	kişilik
tráfico	trafik
in	İngilizce “in” (veri artığı)
mono	maymun; sevimli; tulum
anuncio	ilan; reklam
alternativa	alternatif
recomendar	önermek
lucir	görünmek; sergilemek
concluir	sonuçlandırmak; bitirmek
fortuna	servet; talih
campamento	kamp
gesto	jest; yüz ifadesi
garantizar	garanti etmek
cabrón	pislik; boynuzlu erkek keçi (kaba argo)
combate	çatışma; mücadele
ryan	Ryan (özel isim)
amarillo	sarı
tesoro	hazine
patrón	patron; desen
específico	özgül; belirli
hundir	batırmak
dirigido	yönetilmiş; yönlendirilmiş
femenino	kadınsı; dişil
libra	pound; terazi burcu
charles	Charles (özel isim)
evento	etkinlik
presupuesto	bütçe
fábrica	fabrika
cifra	rakam; sayı
despacho	ofis; gönderim
división	bölünme; bölüm
breve	kısa
azúcar	şeker
cola	kuyruk; kola; yapıştırıcı
uniforme	üniforma; tekdüze
asistente	yardımcı; katılımcı
raíz	kök
comentario	yorum
g	G harfi
conductor	sürücü; iletken
extremo	uç; aşırı
separado	ayrı
ilegal	yasa dışı
amenazar	tehdit etmek
desayuno	kahvaltı
incendio	yangın
morder	ısırmak
martes	salı
bote	tekne; kavanoz
treinta	otuz
gira	turne; dönüş
experimentar	deney yapmak; yaşamak
esclavo	köle
musical	müzikal; müzikle ilgili
pasión	tutku
integrar	bütünleştirmek
democrático	demokratik
conducta	davranış
rumor	söylenti
ruta	rota
aplicación	uygulama; başvuru
bobby	Bobby (özel isim)
municipal	belediyeye ait
jueves	perşembe
mentiroso	yalancı
rica	zengin; lezzetli (dişil)
consciente	bilinçli; farkında
lástima	yazık; acıma
japonés	Japon; Japonca
carro	araba; el arabası
tradicional	geleneksel
ahorrar	tasarruf etmek
fila	sıra
toro	boğa
curar	iyileştirmek; tedavi etmek
apurar	acele ettirmek; sıkıştırmak
conformar	oluşturmak; razı etmek
definitivo	kesin; nihai
cristal	cam; kristal
pescado	balık (yiyecek)
capturar	yakalamak
sano	sağlıklı
gratis	ücretsiz
jake	Jake (özel isim)
tropa	birlik; askerler
dirigente	yönetici; lider
previsto	öngörülen; planlanmış
presentación	sunum; tanıtım
transmitir	iletmek; yayınlamak
presentado	sunulmuş
grandioso	muhteşem
mina	maden; mayın
homicidio	cinayet
obvio	açık; bariz
instalación	kurulum; tesis
pesadilla	kâbus
círculo	daire; çember
basado	dayalı
humanidad	insanlık
borrar	silmek
marzo	Mart
aéreo	havayla ilgili; hava yolu
bienvenido	hoş geldin
chocolate	çikolata
amy	Amy (özel isim)
ala	kanat
adolescente	ergen
ahogar	boğmak; boğulmak
virgen	bakire; el değmemiş
contemplar	seyretmek; düşünmek
prácticamente	pratik olarak; neredeyse
regalar	hediye etmek
l	L harfi
componer	oluşturmak; tamir etmek; bestelemek
oso	ayı
sincero	samimi; dürüst
oreja	kulak
gigante	dev; devasa
quejarse	şikâyet etmek
condenado	mahkûm; lanet olası
barato	ucuz
tensión	gerilim; tansiyon
of	İngilizce “of” (veri artığı)
romántico	romantik
contactar	iletişime geçmek
maleta	valiz
negociación	müzakere
amado	sevilen
harto	bıkmış; fazlasıyla
violento	şiddetli
pata	ayak; bacak (hayvan)
denunciar	ihbar etmek; şikâyet etmek
celular	cep telefonu; hücresel
punta	uç
noviembre	Kasım
explosión	patlama
invierno	kış
diseño	tasarım
mágico	büyülü
emitir	yayınlamak; çıkarmak
poeta	şair
ii	II (Roma rakamı/veri artığı)
discusión	tartışma
judicial	adli; yargısal
actualmente	şu anda
excusa	bahane
consistir	oluşmak
célula	hücre
conclusión	sonuç
productor	üretici; yapımcı
pillar	yakalamak; anlamak (günlük)
enterrar	gömmek
rata	sıçan; cimri kişi
pasillo	koridor
r	R harfi
tenia	tenya; sahipti (tenía aksansız veri)
comunista	komünist
thomas	Thomas (özel isim)
lectura	okuma
intervenir	müdahale etmek
desgracia	felaket; talihsizlik
oposición	muhalefet; karşıtlık
telefónico	telefonla ilgili
caída	düşüş
partida	gidiş; oyun; partida
ensayo	deneme; prova
medir	ölçmek
perdido	kayıp
puesta	koyma; batış (güneş)
sospechar	şüphelenmek
conectar	bağlamak
muñeca	bilek; oyuncak bebek
gallo	horoz
venganza	intikam
negociar	pazarlık etmek
detectar	tespit etmek
episodio	bölüm; olay
entrenamiento	antrenman
solitario	yalnız
proporcionar	sağlamak
ideal	ideal
consumo	tüketim
sagrado	kutsal
secuestrar	kaçırmak; rehin almak
examinar	incelemek; sınamak
misterio	gizem
pantalla	ekran
clínica	klinik
magnífico	muhteşem
animar	neşelendirmek; teşvik etmek
habitual	alışılmış; olağan
dicho	söylenmiş; söz/deyim
instrucción	talimat; öğretim
llegada	varış
encargado	sorumlu; görevli
billete	bilet; banknot
eric	Eric (özel isim)
cero	sıfır
agosto	Ağustos
afectado	etkilenmiş
mr	Mr. (İngilizce veri artığı)
estómago	mide
disposición	düzenleme; eğilim; müsaitlik
involucrado	dahil olmuş
parado	durmuş; işsiz
provincia	il; eyalet
asqueroso	iğrenç
afortunado	şanslı
solucionar	çözmek
aparentemente	görünüşe göre
alianza	ittifak
destinado	amaçlanmış; kaderinde
kilo	kilo
acceder	erişmek; kabul etmek
constante	sabit; sürekli
igualmente	aynı şekilde
comisario	komiser
manzana	elma; şehir adası
aparato	cihaz
nieve	kar
deportivo	sporla ilgili
disponible	mevcut
anna	Anna (özel isim)
pasear	gezmek
criterio	ölçüt; yargı
j	J harfi
cheque	çek
nube	bulut
rastro	iz
numeroso	çok sayıda
debate	tartışma
intervención	müdahale
delicioso	lezzetli
cable	kablo
independiente	bağımsız
distrito	ilçe; bölge
acostumbrar	alıştırmak; genellikle yapmak
vaca	inek
empresario	iş insanı
hierba	çimen; ot
tendencia	eğilim
sobrino	yeğen (erkek)
arena	kum
traducir	çevirmek
intenso	yoğun
celoso	kıskanç
virus	virüs
mama	meme; mama (bağlama göre)
cobarde	korkak
cirugía	cerrahi
guarda	koruma; muhafız; sakla!
ira	öfke
implicar	içermek; ima etmek
muro	duvar
perspectiva	bakış açısı
edición	baskı; düzenleme
sindicato	sendika
sacerdote	rahip
lío	karmaşa; ilişki
órgano	organ; org
resistencia	direnç
dibujo	çizim
cubierta	kapak; güverte
incorporar	dahil etmek
confundir	karıştırmak
alcance	kapsam; erişim
nieto	torun (erkek)
convencido	ikna olmuş; emin
nuclear	nükleer
funeral	cenaze
whisky	viski
ocupada	meşgul (dişil)
sorprendido	şaşırmış
bandera	bayrak
judío	Yahudi; Yahudiliğe ait
mami	anneciğim
kate	Kate (özel isim)
diversión	eğlence
convenir	uygun olmak; anlaşmak
molesto	rahatsız; sinirli
patio	avlu
new	İngilizce “new” (veri artığı)
investigador	araştırmacı
ejercer	icra etmek; uygulamak
dedicado	adanmış
expulsar	kovmak; dışarı atmak
entrenar	antrenman yapmak; eğitmek
selección	seçim; millî takım
deprisa	aceleyle
recientemente	yakın zamanda
apestar	kötü kokmak
milla	mil
nuevamente	yeniden
nadar	yüzmek
charla	sohbet; konuşma
cierre	kapanış; kapatma
concurso	yarışma; ihale
ayuntamiento	belediye
entidad	kurum; varlık
jerry	Jerry (özel isim)
exponer	sergilemek; açıklamak
anteriormente	daha önce
botón	düğme
universitario	üniversiteye ait; üniversite öğrencisi
recorrer	katetmek; dolaşmak
colectivo	kolektif; toplu taşıma
interrogar	sorgulamak
miércoles	çarşamba
biblioteca	kütüphane
religión	din
personalmente	kişisel olarak
contribuir	katkıda bulunmak
ordenador	bilgisayar (İspanya)
andy	Andy (özel isim)
centavo	cent; kuruş benzeri
pendiente	bekleyen; eğim; küpe
permanente	kalıcı
lágrima	gözyaşı
evidente	açık; bariz
granja	çiftlik
librar	kurtarmak; vermek
incidente	olay
jornada	iş günü; gün
apretar	sıkmak; basmak
encerrado	kapalı; kilitli
bordo	kenar; gemide
licencia	lisans; izin
quince	on beş
abrigo	palto; sığınak
síntoma	belirti
desesperado	umutsuz; çaresiz
scott	Scott (özel isim)
parada	durak; durma
bolso	çanta
placa	plaka; levha
fijo	sabit
nacimiento	doğum
salsa	sos; salsa dansı
cubano	Kübalı
inicial	başlangıç; ilk harf
cagar	sıçmak (argo)
herir	yaralamak
previo	önceki
evolución	evrim; gelişim
ánimo	ruh hâli; cesaret
reflejar	yansıtmak
templo	tapınak
propietario	mal sahibi
acusación	suçlama
camioneta	kamyonet
vela	mum; yelken; nöbet
obstante	engel; buna rağmen (no obstante)
emperador	imparator
facilitar	kolaylaştırmak
curiosidad	merak
caza	av; avcılık
representación	temsil; gösteri
complejo	karmaşık; kompleks
intelectual	entelektüel
identificación	kimlik; teşhis
infantil	çocuklara ait
petición	dilekçe; talep
juventud	gençlik
coincidencia	tesadüf; örtüşme
filme	film
vigilancia	gözetim
básicamente	temelde
romano	Romalı; Roma'ya ait
rachel	Rachel (özel isim)
kim	Kim (özel isim)
bloquear	engellemek
desierto	çöl; terk edilmiş
estatal	devlete ait
retroceder	geri çekilmek
torre	kule
publicidad	reklam
admirar	hayran olmak
cazar	avlamak
saco	çuval; ceket
gestión	yönetim
volumen	hacim; ses seviyesi
mortal	ölümcül; ölümlü
bestia	canavar; hayvan
guía	rehber
inferior	alt; daha düşük
tabla	tablo; tahta
humo	duman
labor	iş; emek
fué	oldu (fue'nin eski/yanlış yazımı)
efectuar	gerçekleştirmek
negativo	negatif
suicidar	intihar ettirmek; suicidarse: intihar etmek
obedecer	itaat etmek
celda	hücre; hapishane hücresi
derrotar	yenmek; mağlup etmek
fácilmente	kolayca
alarma	alarm
espacial	uzaysal; uzayla ilgili
agradar	hoşuna gitmek
rico	zengin; lezzetli
continuación	devam
lamentar	üzülmek; pişman olmak
aviso	uyarı; ilan
policial	polisle ilgili
ceremonia	tören
significado	anlam
basar	dayandırmak
ausencia	yokluk
chaqueta	ceket
noble	soylu
pagado	ödenmiş
iniciativa	girişim
ave	kuş
consumir	tüketmek
reclamar	talep etmek; şikâyet etmek
traducción	çeviri
bendecir	kutsamak
torno	etraf; torna
obligación	yükümlülük
temor	korku
desgraciado	talihsiz; zavallı
llover	yağmur yağmak
pete	Pete (özel isim)
progreso	ilerleme
castigo	ceza
continuo	sürekli
contentar	memnun etmek
ligero	hafif; hızlı
clima	iklim
wow	vay (ünlem)
triunfo	zafer; başarı
maravilla	harika şey; mucize
caro	pahalı; sevgili
borde	kenar; kaba
febrero	Şubat
suicidio	intihar
tragar	yutmak
ciertamente	kesinlikle
elegante	şık
establecido	kurulmuş; yerleşik
escala	ölçek; durak
juntar	birleştirmek
ingresar	girmek; para yatırmak
cruel	acımasız
cincuenta	elli
símbolo	sembol
brindar	kadeh kaldırmak; sunmak
rescatar	kurtarmak
semejante	benzer; böyle
primavera	ilkbahar
palo	sopa; çubuk
fruta	meyve
poquito	çok az
mecanismo	mekanizma
tranquilizar	sakinleştirmek
alerta	alarm; uyanık
suma	toplam
impacto	etki; darbe
ronda	tur; devriye
filmar	film çekmek
organizado	organize; düzenli
asombroso	şaşırtıcı
prohibido	yasak
vivienda	konut
kelly	Kelly (özel isim)
ceder	vazgeçmek; devretmek
felicitación	tebrik
mate	mat; dost (bazı bölgelerde); mate içeceği
sabor	tat
argumento	argüman; olay örgüsü
tribu	kabile
muchísimo	çok çok; pek çok
jeff	Jeff (özel isim)
barra	bar; çubuk
emily	Emily (özel isim)
jason	Jason (özel isim)
retener	tutmak; alıkoymak
escaso	kıt; az
categoría	kategori
mancha	leke
v	V harfi
camarero	garson
dimensión	boyut
saludo	selam
percibir	algılamak; almak
capa	katman; pelerin
avance	ilerleme
digno	layık; onurlu
orgullo	gurur
coma	virgül; koma
excepción	istisna
margen	kenar; marj
encargo	görev; sipariş
salto	atlayış
típico	tipik
urbano	kentsel
cartel	afiş; kartel
metal	metal
absurdo	saçma
urgente	acil
electrónico	elektronik
huelga	grev
ofender	gücendirmek
sir	Sir (İngilizce unvan/veri artığı)
temporal	geçici; fırtına
sentencia	cümle; hüküm
rastrear	izini sürmek
hierro	demir
carter	Carter (özel isim)
inclinar	eğmek; eğmek
brillar	parlamak
acostumbrado	alışkın
solar	güneşle ilgili; arsa
tasa	oran; ücret
atar	bağlamak
completar	tamamlamak
convocar	toplantıya çağırmak; çağırmak
desafío	meydan okuma
armario	dolap
matt	Matt (özel isim)
trozo	parça
experimento	deney
serpiente	yılan
disminuir	azaltmak; azalmak
arder	yanmak
festival	festival
miel	bal
sustituir	yerine koymak; değiştirmek
imaginación	hayal gücü
paciencia	sabır
raza	ırk; cins
consultar	danışmak; kontrol etmek
regional	bölgesel
calcular	hesaplamak
limitar	sınırlamak
it	İngilizce “it” (veri artığı)
poema	şiir
piscina	havuz
artístico	sanatsal
manifestación	gösteri; ifade
elevado	yüksek; yükseltilmiş
chiste	şaka
depósito	depo; mevduat
reemplazar	yerine koymak
patear	tekmelemek
modificar	değiştirmek
ilusión	heves; yanılsama
nocturno	geceye ait
elevar	yükseltmek
literatura	edebiyat
cubierto	örtülü; çatal-bıçak takımı
eterno	ebedî
diálogo	diyalog
agradecido	minnettar
mezcla	karışım
comparar	karşılaştırmak
externo	dış; harici
embajador	büyükelçi
apropiado	uygun
enojar	kızdırmak
fracaso	başarısızlık
herramienta	araç; alet
espía	casus
expediente	dosya; kayıt
reaccionar	tepki vermek
reconocimiento	tanıma; takdir
rodar	yuvarlanmak; film çekmek
alan	Alan (özel isim)
asimismo	aynı şekilde; ayrıca
fundar	kurmak
soviético	Sovyet
sensible	hassas; duyarlı
aportar	katkı sağlamak
fino	ince; kaliteli
imperio	imparatorluk
laboral	işle ilgili
denuncia	şikâyet; ihbar
gol	gol
smith	Smith (özel isim)
voluntario	gönüllü
colección	koleksiyon
crítico	eleştirel; kritik; eleştirmen
x	X harfi
divorcio	boşanma
sopa	çorba
violación	tecavüz; ihlal
encajar	uymak; oturmak
costo	maliyet
dave	Dave (özel isim)
localizar	bulmak; konumlandırmak
juguete	oyuncak
parlamento	parlamento
fantasía	fantezi; hayal
misterioso	gizemli
enfadar	kızdırmak
fiel	sadık
anotar	not etmek; skor yapmak
sustancia	madde
castigar	cezalandırmak
h	H harfi
facultad	fakülte; yeti
potencial	potansiyel
